date,region_id,type_id,average,lowest,highest,volume,order_count
2020-03-30,10000043,31874,2759000,2758000,2759000,133,52
2020-03-30,10000043,31876,2903590.91,2177000,3091000,44,13
2020-03-30,10000043,31878,4819309.52,4818000,4820000,84,14
2020-03-30,10000043,31880,1555000,1555000,1555000,144,31
2020-03-30,10000043,31882,2120000,2116000,2120000,155,42
2020-03-30,10000043,31884,2271000,2261500,2299000,141,56
2020-03-30,10000043,31886,2595555.56,2034000,3080000,54,11
2020-03-30,10000043,31888,1649744.83,1649744.83,1649744.83,112,21
2020-03-30,10000043,31890,2066000,1999000,2067000,107,28
2020-03-30,10000043,31892,2307480,2299000,2392000,75,16
2020-03-30,10000043,31894,2688000,2688000,2688000,5,1
2020-03-30,10000043,31900,38271190.48,30200000,39900000,42,28
2020-03-30,10000043,31902,34480000,27210000,49020000,3,3
2020-03-30,10000043,31906,15138750,1625000,19630000,4,3
2020-03-30,10000043,31908,32000000,32000000,32000000,1,1
2020-03-30,10000043,31910,29987500,29980000,29990000,4,4
2020-03-30,10000043,31916,21895000,19120000,24670000,2,2
2020-03-30,10000043,31918,32619661.65,30000000,33929492.47,3,3
2020-03-30,10000043,31922,6283833.33,10000,7431000,6,6
2020-03-30,10000043,31924,3612166.67,1284000,4097000,6,5
2020-03-30,10000043,31926,18190000,18190000,18190000,17,9
2020-03-30,10000043,31928,12904913.04,8105000,14240000,23,21
2020-03-30,10000043,31930,37425882.35,27830000,37980000,34,18
2020-03-30,10000043,31932,41098000,41080000,41130000,30,18
2020-03-30,10000043,31942,51300000,51000000,51430000,10,7
2020-03-30,10000043,31944,39705000,22200000,41810000,10,9
2020-03-30,10000043,31946,82600000,68000000,89900000,6,4
2020-03-30,10000043,31952,38838750,38090000,38870000,16,9
2020-03-30,10000043,31975,28790000,28790000,28790000,1,1
2020-03-30,10000043,31976,68000000,68000000,68000000,1,1
2020-03-30,10000043,31982,18000,17990,22000,168,8
2020-03-30,10000043,31990,39950,39950,39950,209,12
2020-03-30,10000043,31998,42860,42860,42860,1294,25
2020-03-30,10000043,32006,184700,101300,184900,4394,124
2020-03-30,10000043,32014,229800,229700,229800,1775,79
2020-03-30,10000043,32025,593639.66,590459.99,599999,3,3
2020-03-30,10000043,32026,125000,125000,125000,1,1
2020-03-30,10000043,32027,1685714.29,1600000,1700000,7,4
2020-03-30,10000043,32028,750000,750000,750000,1,1
2020-03-30,10000043,32031,25000000,25000000,25000000,1,1
2020-03-30,10000043,32033,325295.5,1,650589.99,2,2
2020-03-30,10000043,32034,125000,125000,125000,1,1
2020-03-30,10000043,32035,5980500,5980000,5981000,2,2
2020-03-30,10000043,32036,750000,750000,750000,1,1
2020-03-30,10000043,32037,16130000,16130000,16130000,1,1
2020-03-30,10000043,32041,578300,578300,578300,3,3
2020-03-30,10000043,32042,125000,125000,125000,1,1
2020-03-30,10000043,32043,2484280,2484000,2485000,25,21
2020-03-30,10000043,32044,750000,750000,750000,1,1
2020-03-30,10000043,32047,22808095.24,22480000,22875000,21,14
2020-03-30,10000043,32050,125000,125000,125000,1,1
2020-03-30,10000043,32052,750000,750000,750000,1,1
2020-03-30,10000043,32057,590489.99,590489.99,590489.99,1,1
2020-03-30,10000043,32058,125000,125000,125000,1,1
2020-03-30,10000043,32059,2490201,2490201,2490201,3,3
2020-03-30,10000043,32060,750000,750000,750000,1,1
2020-03-30,10000043,32063,31010000,31000000,31020000,2,2
2020-03-30,10000043,32070,125000,125000,125000,1,1
2020-03-30,10000043,32072,750000,750000,750000,1,1
2020-03-30,10000043,32081,690630,690630,690630,1,1
2020-03-30,10000043,32082,125000,125000,125000,1,1
2020-03-30,10000043,32084,750000,750000,750000,1,1
2020-03-30,10000043,32090,125000,125000,125000,1,1
2020-03-30,10000043,32092,750000,750000,750000,1,1
2020-03-30,10000043,32248,3210000,3210000,3210000,20,1
2020-03-30,10000043,32262,367500000,367500000,367500000,2,2
2020-03-30,10000043,32305,390400000,305700000,415500000,4,4
2020-03-30,10000043,32307,441000000,441000000,441000000,1,1
2020-03-30,10000043,32309,499033333.33,498750000,499600000,3,3
2020-03-30,10000043,32311,400000000,400000000,400000000,1,1
2020-03-30,10000043,32339,110000000,110000000,110000000,1,1
2020-03-30,10000043,32414,53449499.4,37000000,69898998.8,2,2
